id,doi,title,subfield_display_name,referenced_works_count,referenced_works,cited_by_api_url
W4399441308,10.1080/14241277.2024.2364517,"Configuring the Field of Character and Entertainment Licensing: The Licensing Expo and Other Sites of IP Management <b>Configuring the Field of Character and Entertainment Licensing: The Licensing Expo and Other Sites of IP Management</b> , by Avi Santo, New York, Taylor &amp; Francis Routledge, 2023, 282 pp., $49.49 (ebook), ISBN: 978-1-003-32115-6, ebook",Computer Graphics and Computer-Aided Design,3,"['https://openalex.org/W2921473391', 'https://openalex.org/W2922519787', 'https://openalex.org/W4231328919']",https://api.openalex.org/works?filter=cites:W4399441308
W4399118035,10.29183/2447-3073.mix2024.v10.n2.29-38,THE ENVIRONMENTAL DIMENSION IN NEW PRODUCTS DESIGN – EDUCATIONAL TRAINING IN INDUSTRIAL DESIGN,Computer Graphics and Computer-Aided Design,0,[],https://api.openalex.org/works?filter=cites:W4399118035
W4396225075,10.1007/s00371-024-03400-8,Triangular matrix-based lossless compression algorithm for 3D mesh connectivity,Computer Graphics and Computer-Aided Design,28,"['https://openalex.org/W1798731418', 'https://openalex.org/W1926534862', 'https://openalex.org/W1987609645', 'https://openalex.org/W1989305571', 'https://openalex.org/W1994211684', 'https://openalex.org/W2031982350', 'https://openalex.org/W2051208735', 'https://openalex.org/W2082042734', 'https://openalex.org/W2091797932', 'https://openalex.org/W2113615072', 'https://openalex.org/W2120323262', 'https://openalex.org/W2283829853', 'https://openalex.org/W2327627728', 'https://openalex.org/W2768739985', 'https://openalex.org/W2897394679', 'https://openalex.org/W2964287951', 'https://openalex.org/W3082270923', 'https://openalex.org/W3103721655', 'https://openalex.org/W3113844551', 'https://openalex.org/W4214671570', 'https://openalex.org/W4221158809', 'https://openalex.org/W4225320889', 'https://openalex.org/W4246759790', 'https://openalex.org/W4247477888', 'https://openalex.org/W4297330752', 'https://openalex.org/W4311805952', 'https://openalex.org/W4327600722', 'https://openalex.org/W4390650643']",https://api.openalex.org/works?filter=cites:W4396225075
W4395464917,10.1007/s00009-024-02644-x,Stable Maps from $$\#^n(S^1\times S^2)$$ to the Euclidean 3-Space,Computer Graphics and Computer-Aided Design,11,"['https://openalex.org/W1170691744', 'https://openalex.org/W157331947', 'https://openalex.org/W1964791081', 'https://openalex.org/W1971759379', 'https://openalex.org/W2010063562', 'https://openalex.org/W2044085757', 'https://openalex.org/W2065524928', 'https://openalex.org/W2962824664', 'https://openalex.org/W4236268190', 'https://openalex.org/W4243603645', 'https://openalex.org/W4253357848']",https://api.openalex.org/works?filter=cites:W4395464917
W4400028706,10.11606/t.55.2024.tde-25062024-163222,Digital 3D Animation of Powder-Snow Avalanches,Computer Graphics and Computer-Aided Design,266,"['https://openalex.org/W130787622', 'https://openalex.org/W1411548932', 'https://openalex.org/W141903280', 'https://openalex.org/W145698583', 'https://openalex.org/W1481054870', 'https://openalex.org/W1481836164', 'https://openalex.org/W1516809932', 'https://openalex.org/W1555627060', 'https://openalex.org/W1555930968', 'https://openalex.org/W1557626936', 'https://openalex.org/W1589890367', 'https://openalex.org/W1625224964', 'https://openalex.org/W1633593843', 'https://openalex.org/W1640185351', 'https://openalex.org/W1644123908', 'https://openalex.org/W1650228408', 'https://openalex.org/W1718107244', 'https://openalex.org/W1772551698', 'https://openalex.org/W1810119542', 'https://openalex.org/W1853394339', 'https://openalex.org/W1868937584', 'https://openalex.org/W1896546108', 'https://openalex.org/W1898910088', 'https://openalex.org/W1965512495', 'https://openalex.org/W1966209632', 'https://openalex.org/W1966465252', 'https://openalex.org/W1968467786', 'https://openalex.org/W1975130232', 'https://openalex.org/W1976098013', 'https://openalex.org/W1977326966', 'https://openalex.org/W1981004504', 'https://openalex.org/W1982243542', 'https://openalex.org/W1982376309', 'https://openalex.org/W1982669600', 'https://openalex.org/W1983075562', 'https://openalex.org/W1983452535', 'https://openalex.org/W1985179018', 'https://openalex.org/W1985363569', 'https://openalex.org/W1985803745', 'https://openalex.org/W1986537105', 'https://openalex.org/W1986637020', 'https://openalex.org/W1987092289', 'https://openalex.org/W1988507404', 'https://openalex.org/W1991285499', 'https://openalex.org/W1994786006', 'https://openalex.org/W1996139747', 'https://openalex.org/W2000549064', 'https://openalex.org/W2001574180', 'https://openalex.org/W2003209724', 'https://openalex.org/W2006307141', 'https://openalex.org/W2008473246', 'https://openalex.org/W2009903154', 'https://openalex.org/W2013313582', 'https://openalex.org/W2015644008', 'https://openalex.org/W2015686615', 'https://openalex.org/W2016229108', 'https://openalex.org/W2016597687', 'https://openalex.org/W2016698391', 'https://openalex.org/W2017032799', 'https://openalex.org/W2017802971', 'https://openalex.org/W2019629962', 'https://openalex.org/W2022177996', 'https://openalex.org/W2022566626', 'https://openalex.org/W2025541984', 'https://openalex.org/W2027135329', 'https://openalex.org/W2027157402', 'https://openalex.org/W2029160674', 'https://openalex.org/W2029252242', 'https://openalex.org/W2031171101', 'https://openalex.org/W2032652270', 'https://openalex.org/W2036812736', 'https://openalex.org/W2038963721', 'https://openalex.org/W2039944233', 'https://openalex.org/W2040062827', 'https://openalex.org/W2041225496', 'https://openalex.org/W2045491288', 'https://openalex.org/W2045563478', 'https://openalex.org/W2046392635', 'https://openalex.org/W2046824406', 'https://openalex.org/W2049905360', 'https://openalex.org/W2051010935', 'https://openalex.org/W2051366449', 'https://openalex.org/W2052149288', 'https://openalex.org/W2052371443', 'https://openalex.org/W2053037906', 'https://openalex.org/W2053404357', 'https://openalex.org/W2057952700', 'https://openalex.org/W2058216730', 'https://openalex.org/W2058906192', 'https://openalex.org/W2059074408', 'https://openalex.org/W2062308605', 'https://openalex.org/W2062816816', 'https://openalex.org/W2063050805', 'https://openalex.org/W2063136926', 'https://openalex.org/W2064491829', 'https://openalex.org/W2066268031', 'https://openalex.org/W2066277876', 'https://openalex.org/W2067519070', 'https://openalex.org/W2069044138', 'https://openalex.org/W2069090730', 'https://openalex.org/W2069316184', 'https://openalex.org/W2072257369', 'https://openalex.org/W2072586415', 'https://openalex.org/W2073852436', 'https://openalex.org/W2076881757', 'https://openalex.org/W2077678598', 'https://openalex.org/W2078837351', 'https://openalex.org/W2081062182', 'https://openalex.org/W2086455857', 'https://openalex.org/W2087194051', 'https://openalex.org/W2088112317', 'https://openalex.org/W2088596728', 'https://openalex.org/W2089726988', 'https://openalex.org/W2090524300', 'https://openalex.org/W2091674402', 'https://openalex.org/W2093222011', 'https://openalex.org/W2094052015', 'https://openalex.org/W2099374258', 'https://openalex.org/W2103787784', 'https://openalex.org/W2105413846', 'https://openalex.org/W2105918836', 'https://openalex.org/W2106227611', 'https://openalex.org/W2107988541', 'https://openalex.org/W2111358851', 'https://openalex.org/W2112021359', 'https://openalex.org/W2114921526', 'https://openalex.org/W2115218270', 'https://openalex.org/W2115334653', 'https://openalex.org/W2116812323', 'https://openalex.org/W2118478328', 'https://openalex.org/W2120923020', 'https://openalex.org/W2121067236', 'https://openalex.org/W2124065402', 'https://openalex.org/W2124707694', 'https://openalex.org/W2131820056', 'https://openalex.org/W2132026722', 'https://openalex.org/W2133381812', 'https://openalex.org/W2133431334', 'https://openalex.org/W2134559329', 'https://openalex.org/W2136745576', 'https://openalex.org/W2138101386', 'https://openalex.org/W2138653204', 'https://openalex.org/W2139417932', 'https://openalex.org/W2139708212', 'https://openalex.org/W2140597756', 'https://openalex.org/W2140761548', 'https://openalex.org/W2145057143', 'https://openalex.org/W2146353930', 'https://openalex.org/W2147820408', 'https://openalex.org/W2149863106', 'https://openalex.org/W2150803516', 'https://openalex.org/W2154766605', 'https://openalex.org/W2155216327', 'https://openalex.org/W2155731760', 'https://openalex.org/W2156498905', 'https://openalex.org/W2162626773', 'https://openalex.org/W2164383841', 'https://openalex.org/W2165279013', 'https://openalex.org/W2165643178', 'https://openalex.org/W2168575889', 'https://openalex.org/W2170269529', 'https://openalex.org/W2171008495', 'https://openalex.org/W2194567494', 'https://openalex.org/W2231125256', 'https://openalex.org/W2277172374', 'https://openalex.org/W2288290935', 'https://openalex.org/W2292529644', 'https://openalex.org/W2314816127', 'https://openalex.org/W2315794412', 'https://openalex.org/W2410914790', 'https://openalex.org/W2470519542', 'https://openalex.org/W2476796424', 'https://openalex.org/W2488166539', 'https://openalex.org/W2492655279', 'https://openalex.org/W2498005199', 'https://openalex.org/W2500718310', 'https://openalex.org/W2549092871', 'https://openalex.org/W2563506672', 'https://openalex.org/W2588644263', 'https://openalex.org/W2590015720', 'https://openalex.org/W2611499288', 'https://openalex.org/W2739405427', 'https://openalex.org/W2749486094', 'https://openalex.org/W2753161952', 'https://openalex.org/W2753232090', 'https://openalex.org/W2753831233', 'https://openalex.org/W2758257724', 'https://openalex.org/W2769733039', 'https://openalex.org/W2786657424', 'https://openalex.org/W2792565755', 'https://openalex.org/W2793825821', 'https://openalex.org/W2801774582', 'https://openalex.org/W2802319784', 'https://openalex.org/W2810216202', 'https://openalex.org/W2887178829', 'https://openalex.org/W2887575682', 'https://openalex.org/W2895143064', 'https://openalex.org/W2897231732', 'https://openalex.org/W2911774705', 'https://openalex.org/W2912298120', 'https://openalex.org/W2923639018', 'https://openalex.org/W2936286164', 'https://openalex.org/W2951027714', 'https://openalex.org/W2954903492', 'https://openalex.org/W2965661659', 'https://openalex.org/W2969957195', 'https://openalex.org/W2989513997', 'https://openalex.org/W2989853290', 'https://openalex.org/W2995370690', 'https://openalex.org/W2996247804', 'https://openalex.org/W2997281122', 'https://openalex.org/W2998161920', 'https://openalex.org/W2999356345', 'https://openalex.org/W300002119', 'https://openalex.org/W300273075', 'https://openalex.org/W3013906178', 'https://openalex.org/W3014283428', 'https://openalex.org/W3021730497', 'https://openalex.org/W3025271122', 'https://openalex.org/W3036525297', 'https://openalex.org/W3043478881', 'https://openalex.org/W3045947178', 'https://openalex.org/W3048942583', 'https://openalex.org/W3092802880', 'https://openalex.org/W3106044873', 'https://openalex.org/W3109744505', 'https://openalex.org/W3113259181', 'https://openalex.org/W3114445681', 'https://openalex.org/W3134102170', 'https://openalex.org/W3138252781', 'https://openalex.org/W3140468358', 'https://openalex.org/W3162918937', 'https://openalex.org/W3179041359', 'https://openalex.org/W4200263873', 'https://openalex.org/W4211235346', 'https://openalex.org/W4213278517', 'https://openalex.org/W4214541799', 'https://openalex.org/W4214750050', 'https://openalex.org/W4223927937', 'https://openalex.org/W4226106661', 'https://openalex.org/W4230833667', 'https://openalex.org/W4231291258', 'https://openalex.org/W4231511995', 'https://openalex.org/W4233509487', 'https://openalex.org/W4235870045', 'https://openalex.org/W4236660171', 'https://openalex.org/W4236914176', 'https://openalex.org/W4238035820', 'https://openalex.org/W4238622889', 'https://openalex.org/W4240384253', 'https://openalex.org/W4243983798', 'https://openalex.org/W4245578505', 'https://openalex.org/W4248056334', 'https://openalex.org/W4248672513', 'https://openalex.org/W4253601193', 'https://openalex.org/W4254898838', 'https://openalex.org/W4256063436', 'https://openalex.org/W4282013634', 'https://openalex.org/W4285704209', 'https://openalex.org/W4285999771', 'https://openalex.org/W4287510001', 'https://openalex.org/W4299948316', 'https://openalex.org/W586045073', 'https://openalex.org/W653746442', 'https://openalex.org/W73197928', 'https://openalex.org/W937144718']",https://api.openalex.org/works?filter=cites:W4400028706
W4394924830,10.37236/12548,Independent Dominating Sets in Planar Triangulations,Computer Graphics and Computer-Aided Design,12,"['https://openalex.org/W1981421358', 'https://openalex.org/W2014608127', 'https://openalex.org/W2024275573', 'https://openalex.org/W2068102400', 'https://openalex.org/W2077326803', 'https://openalex.org/W2225862971', 'https://openalex.org/W2991641337', 'https://openalex.org/W2997182975', 'https://openalex.org/W3022382553', 'https://openalex.org/W4213087285', 'https://openalex.org/W4308219551', 'https://openalex.org/W772609349']",https://api.openalex.org/works?filter=cites:W4394924830
W4393190665,10.1016/j.cag.2024.103910,A vertex-centric representation for adaptive diamond-kite meshes,Computer Graphics and Computer-Aided Design,12,"['https://openalex.org/W2002263906', 'https://openalex.org/W2028003653', 'https://openalex.org/W2161987835', 'https://openalex.org/W2165566559', 'https://openalex.org/W2517241835', 'https://openalex.org/W3033348680', 'https://openalex.org/W3103573455', 'https://openalex.org/W3128885424', 'https://openalex.org/W3162518547', 'https://openalex.org/W4242724835', 'https://openalex.org/W4292670932', 'https://openalex.org/W4393190665']",https://api.openalex.org/works?filter=cites:W4393190665
W4393038423,10.55905/oelv22n3-149,Technological convergence for ethernet networks in railways process control systems,Computer Graphics and Computer-Aided Design,4,"['https://openalex.org/W1982626884', 'https://openalex.org/W2068300936', 'https://openalex.org/W3022340234', 'https://openalex.org/W4301455809']",https://api.openalex.org/works?filter=cites:W4393038423
W4393139105,10.51582/interconf.19-20.03.2024.055,Contemporary trends in graphic design,Computer Graphics and Computer-Aided Design,0,[],https://api.openalex.org/works?filter=cites:W4393139105
W4399119084,10.1109/vrw62533.2024.00079,AI-Powered 360 Panoramas: Unveiling Challenges for Realistic XR Prototyping,Computer Graphics and Computer-Aided Design,14,"['https://openalex.org/W2783391889', 'https://openalex.org/W2963075267', 'https://openalex.org/W2963163163', 'https://openalex.org/W2964024144', 'https://openalex.org/W3096831136', 'https://openalex.org/W4289521784', 'https://openalex.org/W4293320219', 'https://openalex.org/W4295521014', 'https://openalex.org/W4311802212', 'https://openalex.org/W4378945721', 'https://openalex.org/W4387993511', 'https://openalex.org/W4394597526', 'https://openalex.org/W4394698761', 'https://openalex.org/W4404915194']",https://api.openalex.org/works?filter=cites:W4399119084
W4392469612,10.1016/j.dam.2024.02.018,An impossible combinatorial counting method in distance geometry,Computer Graphics and Computer-Aided Design,39,"['https://openalex.org/W1674342371', 'https://openalex.org/W1898843043', 'https://openalex.org/W1968609670', 'https://openalex.org/W1970594638', 'https://openalex.org/W1972865089', 'https://openalex.org/W1975519273', 'https://openalex.org/W2003885039', 'https://openalex.org/W2017850362', 'https://openalex.org/W2022841964', 'https://openalex.org/W2034762747', 'https://openalex.org/W2049444669', 'https://openalex.org/W2049815112', 'https://openalex.org/W2057691786', 'https://openalex.org/W2063246173', 'https://openalex.org/W2071846104', 'https://openalex.org/W2081415437', 'https://openalex.org/W2095209196', 'https://openalex.org/W2100961486', 'https://openalex.org/W2111826413', 'https://openalex.org/W2115171226', 'https://openalex.org/W2139834426', 'https://openalex.org/W2143703915', 'https://openalex.org/W2164443866', 'https://openalex.org/W2327230547', 'https://openalex.org/W2337478696', 'https://openalex.org/W2489302366', 'https://openalex.org/W2613996069', 'https://openalex.org/W2801664259', 'https://openalex.org/W2811067641', 'https://openalex.org/W2883359381', 'https://openalex.org/W2953018250', 'https://openalex.org/W2969305656', 'https://openalex.org/W3033108960', 'https://openalex.org/W3213428502', 'https://openalex.org/W4212937970', 'https://openalex.org/W4240501996', 'https://openalex.org/W4251345737', 'https://openalex.org/W4313407850', 'https://openalex.org/W90692444']",https://api.openalex.org/works?filter=cites:W4392469612
W4392664861,10.15406/jteft.2024.10.00360,Aestheticization of technology’s: Mini review,Computer Graphics and Computer-Aided Design,1,['https://openalex.org/W4288801775'],https://api.openalex.org/works?filter=cites:W4392664861
W4391174671,10.55908/sdgs.v12i1.2583,"Yu Opera Artistic Instruction Components Are Mined and Taught Throughout Elementary Classrooms in The Luoyang Area of Henan Province, China, as an Example",Computer Graphics and Computer-Aided Design,4,"['https://openalex.org/W4386035301', 'https://openalex.org/W4386035435', 'https://openalex.org/W4387958233', 'https://openalex.org/W4389270932']",https://api.openalex.org/works?filter=cites:W4391174671
W4390837902,10.1111/itor.13428,Exact and heuristic solutions for the prize‐collecting geometric enclosure problem,Computer Graphics and Computer-Aided Design,23,"['https://openalex.org/W1968165428', 'https://openalex.org/W1971135470', 'https://openalex.org/W1986056047', 'https://openalex.org/W2008581147', 'https://openalex.org/W2048493433', 'https://openalex.org/W2061213672', 'https://openalex.org/W2063514882', 'https://openalex.org/W2069323107', 'https://openalex.org/W2116680937', 'https://openalex.org/W2128019210', 'https://openalex.org/W2141119792', 'https://openalex.org/W2795402084', 'https://openalex.org/W2911302472', 'https://openalex.org/W2979156264', 'https://openalex.org/W2997776631', 'https://openalex.org/W3042583108', 'https://openalex.org/W3047200489', 'https://openalex.org/W3090053899', 'https://openalex.org/W3187236644', 'https://openalex.org/W4210580908', 'https://openalex.org/W4246219036', 'https://openalex.org/W4281481719', 'https://openalex.org/W4298410530']",https://api.openalex.org/works?filter=cites:W4390837902
W4392248404,10.1109/icce59016.2024.10444434,Enhancing Virtual Reality Experiences through Embedded 3D Models in Video Content,Computer Graphics and Computer-Aided Design,15,"['https://openalex.org/W1680161447', 'https://openalex.org/W1945082295', 'https://openalex.org/W1975743878', 'https://openalex.org/W1984520159', 'https://openalex.org/W2078186328', 'https://openalex.org/W2110855027', 'https://openalex.org/W2112347448', 'https://openalex.org/W2121598720', 'https://openalex.org/W2616008761', 'https://openalex.org/W2766966028', 'https://openalex.org/W2788266489', 'https://openalex.org/W2797552926', 'https://openalex.org/W2900394486', 'https://openalex.org/W3175727500', 'https://openalex.org/W4287495230']",https://api.openalex.org/works?filter=cites:W4392248404
W4405266915,10.59254/sbpo-2024-193916,Resolução do Problema de Minimização de Trocas de Ferramentas com uma Busca Local Iterada Baseada em Chaves Aleatórias,Computer Graphics and Computer-Aided Design,0,[],https://api.openalex.org/works?filter=cites:W4405266915
W4392930195,10.1109/lsp.2024.3378676,Embedded Coding of Point Cloud Attributes,Computer Graphics and Computer-Aided Design,17,"['https://openalex.org/W2053691921', 'https://openalex.org/W2101838603', 'https://openalex.org/W2117492831', 'https://openalex.org/W2142276208', 'https://openalex.org/W2151687858', 'https://openalex.org/W2415653907', 'https://openalex.org/W2896304995', 'https://openalex.org/W2905544027', 'https://openalex.org/W2911940095', 'https://openalex.org/W2964287951', 'https://openalex.org/W2996973935', 'https://openalex.org/W3014200484', 'https://openalex.org/W3089371114', 'https://openalex.org/W3193016731', 'https://openalex.org/W4206075368', 'https://openalex.org/W4385255909', 'https://openalex.org/W85656207']",https://api.openalex.org/works?filter=cites:W4392930195
W4390693889,10.1007/978-3-031-23161-2_106,Rendering Equation,Computer Graphics and Computer-Aided Design,2,"['https://openalex.org/W2088612131', 'https://openalex.org/W2138624212']",https://api.openalex.org/works?filter=cites:W4390693889
W4392719734,10.1007/978-3-031-42333-8_10,Correction to: Deep Learning for Fluid Simulation and Animation,Computer Graphics and Computer-Aided Design,0,[],https://api.openalex.org/works?filter=cites:W4392719734
