origin_doi,origin_sub_area,target_doi,target_sub_area
10.1109/TNNLS.2021.3051384,ai,10.1016/j.asoc.2019.105970,ai
10.1016/j.ins.2021.09.054,data,10.1109/TNNLS.2021.3051384,ai
10.1016/j.engappai.2023.107649,ai,10.1109/TNNLS.2021.3051384,ai
10.1007/s00521-023-08311-8,ai,10.1109/TNNLS.2021.3051384,ai
10.1007/s00521-023-09155-y,ai,10.1109/TNNLS.2021.3051384,ai
10.1016/j.asoc.2022.108586,ai,10.1016/j.eswa.2021.115009,ai
10.1016/j.ins.2021.10.017,data,10.1016/j.ijar.2020.07.002,ai
10.1016/j.fss.2022.10.019,ai,10.1016/j.ijar.2020.07.002,ai
10.1016/j.ijar.2022.05.010,ai,10.1016/j.ijar.2020.07.002,ai
10.1016/j.ijar.2021.04.008,ai,10.1016/j.ijar.2020.07.002,ai
10.1016/j.ins.2021.10.017,data,10.1016/j.fss.2020.02.009,ai
10.1016/j.fss.2020.12.007,ai,10.1016/j.fss.2020.02.009,ai
10.1016/j.fss.2022.10.019,ai,10.1016/j.ins.2021.02.010,data
10.1016/j.fss.2022.10.019,ai,10.1016/j.ijar.2021.04.008,ai
10.1016/j.fss.2022.10.019,ai,10.1016/j.fss.2020.12.018,ai
10.1016/j.ijar.2023.109012,ai,10.1016/j.fss.2022.10.019,ai
10.1016/j.knosys.2022.109333,ai,10.1016/j.eswa.2021.114775,ai
10.1109/TFUZZ.2020.2994997,ai,10.1016/j.fss.2020.02.009,ai
10.1007/s00500-022-07221-6,ai,10.1109/TFUZZ.2020.2994997,ai
10.1016/j.ijar.2022.05.010,ai,10.1109/TFUZZ.2020.2994997,ai
10.1016/j.ijar.2021.06.008,ai,10.1109/TFUZZ.2020.2994997,ai
10.1145/3506860.3506886,ai,10.1145/3375462.3375478,ai
10.1109/TFUZZ.2022.3184054,ai,10.1016/j.ins.2021.10.016,data
10.1109/TFUZZ.2022.3184054,ai,10.1016/j.inffus.2019.10.005,data
10.1109/TFUZZ.2022.3184054,ai,10.1016/j.fss.2020.03.019,ai
10.1109/TFUZZ.2022.3184054,ai,10.1016/j.fss.2019.01.009,ai
10.1016/j.eswa.2023.123102,ai,10.1016/j.ins.2022.08.045,data
10.1016/j.fss.2020.09.012,ai,10.1007/s00500-020-04896-7,ai
10.1007/s10664-022-10198-3,se,10.1145/3377930.3390215,ai
10.1016/j.asoc.2022.109181,ai,10.1016/j.eswa.2021.115190,ai
10.1016/j.asoc.2022.109181,ai,10.1016/j.asoc.2022.108489,ai
10.1007/s11042-021-11401-1,graphics,10.1016/j.engappai.2020.103557,ai
10.1007/s11042-023-14953-6,graphics,10.1016/j.engappai.2020.103557,ai
10.1016/j.fss.2020.03.019,ai,10.1016/j.inffus.2019.10.005,data
10.1016/j.neucom.2022.05.080,ai,10.1016/j.fss.2020.03.019,ai
10.1016/j.fss.2022.12.017,ai,10.1016/j.fss.2020.03.019,ai
10.1007/s00500-023-09185-7,ai,10.1080/01605682.2020.1772021,or
10.1007/s00500-023-09185-7,ai,10.1016/j.asoc.2023.110587,ai
10.1007/s00500-023-09185-7,ai,10.1111/itor.13163,or
10.1007/s00521-023-09155-y,ai,10.1016/j.ins.2020.07.056,data
10.1016/j.eswa.2022.117083,ai,10.1016/j.cose.2021.102500,security
10.1016/j.eswa.2022.117083,ai,10.1016/j.cose.2021.102287,security
10.1016/j.eswa.2022.118995,ai,10.1016/j.ins.2021.08.080,data
10.1016/j.eswa.2022.118995,ai,10.1016/j.patcog.2020.107666,vision
10.1007/s00138-022-01302-0,vision,10.1016/j.eswa.2020.113816,ai
10.1016/j.inffus.2022.09.006,data,10.1109/TFUZZ.2019.2949771,ai
10.1016/j.knosys.2022.108445,ai,10.1109/TFUZZ.2019.2949771,ai
10.1016/j.neucom.2022.05.114,ai,10.1016/j.neucom.2019.12.134,ai
10.1016/j.neucom.2023.126515,ai,10.1016/j.eswa.2021.114890,ai
10.1109/TFUZZ.2021.3052342,ai,10.1016/j.ins.2020.03.091,data
10.1109/TFUZZ.2021.3052342,ai,10.1016/j.inffus.2019.10.005,data
10.1109/TFUZZ.2021.3052342,ai,10.1016/j.fss.2019.01.009,ai
10.1016/j.knosys.2022.109963,ai,10.1109/TFUZZ.2021.3052342,ai
10.1016/j.engappai.2023.107167,ai,10.1109/TFUZZ.2021.3052342,ai
10.1016/j.fss.2021.09.005,ai,10.1109/TFUZZ.2021.3052342,ai
10.1145/3576050.3576152,ai,10.1145/3375462.3375496,ai
10.1109/TFUZZ.2021.3117438,ai,10.1016/j.fss.2020.12.018,ai
10.1109/TFUZZ.2021.3117438,ai,10.1016/j.fss.2020.12.007,ai
10.1109/TFUZZ.2021.3117438,ai,10.1016/j.fss.2020.03.019,ai
10.1016/j.ijar.2023.109012,ai,10.1109/TFUZZ.2021.3117438,ai
10.1016/j.ijar.2021.04.008,ai,10.1016/j.ins.2021.02.010,data
10.1016/j.neucom.2022.05.080,ai,10.1016/j.ijar.2021.04.008,ai
10.1016/j.ijar.2023.109012,ai,10.1016/j.ijar.2021.04.008,ai
10.1145/3583131.3590495,ai,10.1145/3512290.3528734,ai
10.1007/978-3-031-34560-9_17,dbis,10.1016/j.eswa.2022.117291,ai
10.1007/s00521-023-09144-1,ai,10.1007/s00500-020-04960-2,ai
10.1016/j.neucom.2023.126637,ai,10.1016/j.neucom.2020.01.115,ai
10.1145/3559009.3569680,arch,10.1016/j.neucom.2020.01.115,ai
10.1016/j.eswa.2022.118633,ai,10.1016/j.eswa.2022.116622,ai
10.1016/j.eswa.2023.119866,ai,10.1111/itor.12648,or
10.1016/j.neucom.2023.126768,ai,10.1016/j.neucom.2020.04.035,ai
10.1016/j.engappai.2023.107649,ai,10.1016/j.ins.2020.07.056,data
10.1016/j.engappai.2023.107649,ai,10.1016/j.parco.2021.102858,arch
10.1109/TFUZZ.2022.3222035,ai,10.1016/j.ijar.2021.06.008,ai
10.1109/TFUZZ.2022.3222035,ai,10.1016/j.inffus.2019.10.005,data
10.1109/TFUZZ.2022.3222035,ai,10.1016/j.fss.2020.03.019,ai
10.1109/TFUZZ.2022.3222035,ai,10.1016/j.neunet.2022.04.028,ai
10.1016/j.fss.2022.12.017,ai,10.1109/TFUZZ.2022.3222035,ai
10.1016/j.ijar.2023.109012,ai,10.1016/j.ins.2021.02.010,data
10.1016/j.ijar.2023.109012,ai,10.1016/j.ijar.2022.05.010,ai
10.1016/j.ijar.2023.109012,ai,10.1016/j.fss.2020.12.018,ai
10.1016/j.asoc.2021.107297,ai,10.1007/s11042-019-7473-z,graphics
10.1016/j.asoc.2021.107297,ai,10.1007/s00500-019-04102-3,ai
