id,doi,title,subfield_display_name,referenced_works_count,referenced_works,cited_by
W4395464917,10.1007/s00009-024-02644-x,Stable Maps from $$\#^n(S^1\times S^2)$$ to the Euclidean 3-Space,Computer Graphics and Computer-Aided Design,11,"['W1170691744', 'W157331947', 'W1964791081', 'W1971759379', 'W2010063562', 'W2044085757', 'W2065524928', 'W2962824664', 'W4236268190', 'W4243603645', 'W4253357848']",[]
W4400028706,10.11606/t.55.2024.tde-25062024-163222,Digital 3D Animation of Powder-Snow Avalanches,Computer Graphics and Computer-Aided Design,266,"['W130787622', 'W1411548932', 'W141903280', 'W145698583', 'W1481054870', 'W1481836164', 'W1516809932', 'W1555627060', 'W1555930968', 'W1557626936', 'W1589890367', 'W1625224964', 'W1633593843', 'W1640185351', 'W1644123908', 'W1650228408', 'W1718107244', 'W1772551698', 'W1810119542', 'W1853394339', 'W1868937584', 'W1896546108', 'W1898910088', 'W1965512495', 'W1966209632', 'W1966465252', 'W1968467786', 'W1975130232', 'W1976098013', 'W1977326966', 'W1981004504', 'W1982243542', 'W1982376309', 'W1982669600', 'W1983075562', 'W1983452535', 'W1985179018', 'W1985363569', 'W1985803745', 'W1986537105', 'W1986637020', 'W1987092289', 'W1988507404', 'W1991285499', 'W1994786006', 'W1996139747', 'W2000549064', 'W2001574180', 'W2003209724', 'W2006307141', 'W2008473246', 'W2009903154', 'W2013313582', 'W2015644008', 'W2015686615', 'W2016229108', 'W2016597687', 'W2016698391', 'W2017032799', 'W2017802971', 'W2019629962', 'W2022177996', 'W2022566626', 'W2025541984', 'W2027135329', 'W2027157402', 'W2029160674', 'W2029252242', 'W2031171101', 'W2032652270', 'W2036812736', 'W2038963721', 'W2039944233', 'W2040062827', 'W2041225496', 'W2045491288', 'W2045563478', 'W2046392635', 'W2046824406', 'W2049905360', 'W2051010935', 'W2051366449', 'W2052149288', 'W2052371443', 'W2053037906', 'W2053404357', 'W2057952700', 'W2058216730', 'W2058906192', 'W2059074408', 'W2062308605', 'W2062816816', 'W2063050805', 'W2063136926', 'W2064491829', 'W2066268031', 'W2066277876', 'W2067519070', 'W2069044138', 'W2069090730', 'W2069316184', 'W2072257369', 'W2072586415', 'W2073852436', 'W2076881757', 'W2077678598', 'W2078837351', 'W2081062182', 'W2086455857', 'W2087194051', 'W2088112317', 'W2088596728', 'W2089726988', 'W2090524300', 'W2091674402', 'W2093222011', 'W2094052015', 'W2099374258', 'W2103787784', 'W2105413846', 'W2105918836', 'W2106227611', 'W2107988541', 'W2111358851', 'W2112021359', 'W2114921526', 'W2115218270', 'W2115334653', 'W2116812323', 'W2118478328', 'W2120923020', 'W2121067236', 'W2124065402', 'W2124707694', 'W2131820056', 'W2132026722', 'W2133381812', 'W2133431334', 'W2134559329', 'W2136745576', 'W2138101386', 'W2138653204', 'W2139417932', 'W2139708212', 'W2140597756', 'W2140761548', 'W2145057143', 'W2146353930', 'W2147820408', 'W2149863106', 'W2150803516', 'W2154766605', 'W2155216327', 'W2155731760', 'W2156498905', 'W2162626773', 'W2164383841', 'W2165279013', 'W2165643178', 'W2168575889', 'W2170269529', 'W2171008495', 'W2194567494', 'W2231125256', 'W2277172374', 'W2288290935', 'W2292529644', 'W2314816127', 'W2315794412', 'W2410914790', 'W2470519542', 'W2476796424', 'W2488166539', 'W2492655279', 'W2498005199', 'W2500718310', 'W2549092871', 'W2563506672', 'W2588644263', 'W2590015720', 'W2611499288', 'W2739405427', 'W2749486094', 'W2753161952', 'W2753232090', 'W2753831233', 'W2758257724', 'W2769733039', 'W2786657424', 'W2792565755', 'W2793825821', 'W2801774582', 'W2802319784', 'W2810216202', 'W2887178829', 'W2887575682', 'W2895143064', 'W2897231732', 'W2911774705', 'W2912298120', 'W2923639018', 'W2936286164', 'W2951027714', 'W2954903492', 'W2965661659', 'W2969957195', 'W2989513997', 'W2989853290', 'W2995370690', 'W2996247804', 'W2997281122', 'W2998161920', 'W2999356345', 'W300002119', 'W300273075', 'W3013906178', 'W3014283428', 'W3021730497', 'W3025271122', 'W3036525297', 'W3043478881', 'W3045947178', 'W3048942583', 'W3092802880', 'W3106044873', 'W3109744505', 'W3113259181', 'W3114445681', 'W3134102170', 'W3138252781', 'W3140468358', 'W3162918937', 'W3179041359', 'W4200263873', 'W4211235346', 'W4213278517', 'W4214541799', 'W4214750050', 'W4223927937', 'W4226106661', 'W4230833667', 'W4231291258', 'W4231511995', 'W4233509487', 'W4235870045', 'W4236660171', 'W4236914176', 'W4238035820', 'W4238622889', 'W4240384253', 'W4243983798', 'W4245578505', 'W4248056334', 'W4248672513', 'W4253601193', 'W4254898838', 'W4256063436', 'W4282013634', 'W4285704209', 'W4285999771', 'W4287510001', 'W4299948316', 'W586045073', 'W653746442', 'W73197928', 'W937144718']",[]
W4394924830,10.37236/12548,Independent Dominating Sets in Planar Triangulations,Computer Graphics and Computer-Aided Design,12,"['W1981421358', 'W2014608127', 'W2024275573', 'W2068102400', 'W2077326803', 'W2225862971', 'W2991641337', 'W2997182975', 'W3022382553', 'W4213087285', 'W4308219551', 'W772609349']",['W4406651669']
W4393190665,10.1016/j.cag.2024.103910,A vertex-centric representation for adaptive diamond-kite meshes,Computer Graphics and Computer-Aided Design,12,"['W2002263906', 'W2028003653', 'W2161987835', 'W2165566559', 'W2517241835', 'W3033348680', 'W3103573455', 'W3128885424', 'W3162518547', 'W4242724835', 'W4292670932', 'W4393190665']","['W4393190665', 'W4396961864']"
W4393038423,10.55905/oelv22n3-149,Technological convergence for ethernet networks in railways process control systems,Computer Graphics and Computer-Aided Design,4,"['W1982626884', 'W2068300936', 'W3022340234', 'W4301455809']",[]
W4393139105,10.51582/interconf.19-20.03.2024.055,Contemporary trends in graphic design,Computer Graphics and Computer-Aided Design,0,[],"['W4406267960', 'W4407026033']"
W4399119084,10.1109/vrw62533.2024.00079,AI-Powered 360 Panoramas: Unveiling Challenges for Realistic XR Prototyping,Computer Graphics and Computer-Aided Design,14,"['W2783391889', 'W2963075267', 'W2963163163', 'W2964024144', 'W3096831136', 'W4289521784', 'W4293320219', 'W4295521014', 'W4311802212', 'W4378945721', 'W4387993511', 'W4394597526', 'W4394698761', 'W4404915194']",['W4402575841']
W4392469612,10.1016/j.dam.2024.02.018,An impossible combinatorial counting method in distance geometry,Computer Graphics and Computer-Aided Design,39,"['W1674342371', 'W1898843043', 'W1968609670', 'W1970594638', 'W1972865089', 'W1975519273', 'W2003885039', 'W2017850362', 'W2022841964', 'W2034762747', 'W2049444669', 'W2049815112', 'W2057691786', 'W2063246173', 'W2071846104', 'W2081415437', 'W2095209196', 'W2100961486', 'W2111826413', 'W2115171226', 'W2139834426', 'W2143703915', 'W2164443866', 'W2327230547', 'W2337478696', 'W2489302366', 'W2613996069', 'W2801664259', 'W2811067641', 'W2883359381', 'W2953018250', 'W2969305656', 'W3033108960', 'W3213428502', 'W4212937970', 'W4240501996', 'W4251345737', 'W4313407850', 'W90692444']",['W4404910828']
W4392664861,10.15406/jteft.2024.10.00360,Aestheticization of technology’s: Mini review,Computer Graphics and Computer-Aided Design,1,['W4288801775'],[]
W4391174671,10.55908/sdgs.v12i1.2583,"Yu Opera Artistic Instruction Components Are Mined and Taught Throughout Elementary Classrooms in The Luoyang Area of Henan Province, China, as an Example",Computer Graphics and Computer-Aided Design,4,"['W4386035301', 'W4386035435', 'W4387958233', 'W4389270932']",['W4402135636']
W4390837902,10.1111/itor.13428,Exact and heuristic solutions for the prize‐collecting geometric enclosure problem,Computer Graphics and Computer-Aided Design,23,"['W1968165428', 'W1971135470', 'W1986056047', 'W2008581147', 'W2048493433', 'W2061213672', 'W2063514882', 'W2069323107', 'W2116680937', 'W2128019210', 'W2141119792', 'W2795402084', 'W2911302472', 'W2979156264', 'W2997776631', 'W3042583108', 'W3047200489', 'W3090053899', 'W3187236644', 'W4210580908', 'W4246219036', 'W4281481719', 'W4298410530']",[]
W4392248404,10.1109/icce59016.2024.10444434,Enhancing Virtual Reality Experiences through Embedded 3D Models in Video Content,Computer Graphics and Computer-Aided Design,15,"['W1680161447', 'W1945082295', 'W1975743878', 'W1984520159', 'W2078186328', 'W2110855027', 'W2112347448', 'W2121598720', 'W2616008761', 'W2766966028', 'W2788266489', 'W2797552926', 'W2900394486', 'W3175727500', 'W4287495230']",[]
W4405266915,10.59254/sbpo-2024-193916,Resolução do Problema de Minimização de Trocas de Ferramentas com uma Busca Local Iterada Baseada em Chaves Aleatórias,Computer Graphics and Computer-Aided Design,0,[],[]
W4392930195,10.1109/lsp.2024.3378676,Embedded Coding of Point Cloud Attributes,Computer Graphics and Computer-Aided Design,17,"['W2053691921', 'W2101838603', 'W2117492831', 'W2142276208', 'W2151687858', 'W2415653907', 'W2896304995', 'W2905544027', 'W2911940095', 'W2964287951', 'W2996973935', 'W3014200484', 'W3089371114', 'W3193016731', 'W4206075368', 'W4385255909', 'W85656207']",['W4400578792']
W4390693889,10.1007/978-3-031-23161-2_106,Rendering Equation,Computer Graphics and Computer-Aided Design,2,"['W2088612131', 'W2138624212']",[]
W4392719734,10.1007/978-3-031-42333-8_10,Correction to: Deep Learning for Fluid Simulation and Animation,Computer Graphics and Computer-Aided Design,0,[],[]
